timestamp,page,ram_used_gb,ram_percent,gpu_used_mb,gpu_total_mb,gpu_free_mb
2026-01-26T14:12:47.622338,166,6.01,24.6,149,1244,187
2026-01-26T14:12:49.858560,167,5.93,24.2,149,1244,187
2026-01-26T14:12:51.736982,168,5.91,24.2,149,1244,187
2026-01-26T14:12:53.627646,169,6.04,24.7,149,1244,187
2026-01-26T14:12:55.633300,170,5.93,24.3,149,1244,187
2026-01-26T14:12:57.874787,171,5.94,24.3,149,1244,187
2026-01-26T14:12:59.752329,172,6.04,24.7,149,1244,187
2026-01-26T14:13:01.775676,173,5.92,24.2,149,1244,187
2026-01-26T14:13:04.194011,174,5.94,24.3,149,1244,187
2026-01-26T14:13:06.181064,175,6.02,24.6,149,1244,187
2026-01-26T14:13:08.383125,176,5.93,24.2,149,1244,187
2026-01-26T14:13:10.296285,177,5.91,24.2,149,1244,187
2026-01-26T14:13:12.187721,178,6.02,24.6,149,1244,187
2026-01-26T14:13:14.031335,179,5.91,24.2,149,1244,187
2026-01-26T14:13:18.292772,180,5.98,24.5,149,1244,187
2026-01-26T14:13:19.248063,181,5.94,24.3,149,1244,187
2026-01-26T14:13:21.352133,182,6.02,24.6,149,1244,187
2026-01-26T14:13:23.735989,183,5.93,24.2,149,1244,187
2026-01-26T14:13:26.229106,184,5.93,24.2,149,1244,187
2026-01-26T14:13:28.300848,185,6.06,24.8,149,1244,187
2026-01-26T14:13:30.531063,186,5.93,24.2,149,1244,187
2026-01-26T14:13:32.893053,187,5.93,24.2,149,1244,187
2026-01-26T14:13:35.044949,188,6.05,24.7,149,1244,187
2026-01-26T14:13:38.061282,189,5.94,24.3,149,1244,187
2026-01-26T14:13:40.284601,190,5.93,24.2,149,1244,187
2026-01-26T14:13:42.467964,191,6.05,24.7,149,1244,187
2026-01-26T14:13:45.327330,192,5.94,24.3,149,1244,187
2026-01-26T14:13:47.153155,193,5.94,24.3,149,1244,187
2026-01-26T14:13:50.097629,194,6.04,24.7,149,1244,187
2026-01-26T14:13:52.159644,195,5.93,24.3,149,1244,187
2026-01-26T14:13:54.162814,196,5.92,24.2,149,1244,187
2026-01-26T14:13:56.057767,197,6.03,24.7,149,1244,187
2026-01-26T14:14:01.519437,198,6.05,24.7,149,1244,187
2026-01-26T14:14:02.605443,199,6.00,24.5,149,1244,187
2026-01-26T14:14:03.696212,200,5.96,24.4,149,1244,187
2026-01-26T14:14:04.779879,201,5.92,24.2,149,1244,187
2026-01-26T14:15:10.302664,202,12.69,51.9,149,1244,187
2026-01-26T14:15:14.781434,203,12.39,50.7,149,1244,187
2026-01-26T14:15:18.107934,204,12.05,49.3,149,1244,187
2026-01-26T14:15:21.098232,205,11.36,46.5,149,1244,187
2026-01-26T14:15:24.393967,206,11.02,45.1,149,1244,187
2026-01-26T14:15:27.168973,207,10.68,43.7,149,1244,187
2026-01-26T14:15:29.916081,208,10.33,42.3,149,1244,187
2026-01-26T14:15:32.447406,209,9.99,40.9,149,1244,187
2026-01-26T14:15:34.718142,210,9.65,39.5,149,1244,187
2026-01-26T14:15:37.352703,211,9.31,38.1,149,1244,187
2026-01-26T14:15:40.155279,212,8.95,36.6,149,1244,187
2026-01-26T14:15:43.169451,213,8.84,36.2,149,1244,187
2026-01-26T14:15:45.512770,214,8.49,34.7,149,1244,187
2026-01-26T14:15:48.400361,215,8.15,33.3,149,1244,187
2026-01-26T14:15:51.279400,216,7.80,31.9,149,1244,187
2026-01-26T14:15:53.865224,217,7.46,30.5,149,1244,187
2026-01-26T14:15:56.184819,218,7.12,29.1,149,1244,187
2026-01-26T14:15:58.592379,219,6.76,27.7,149,1244,187
2026-01-26T14:16:01.438500,220,6.41,26.2,149,1244,187
2026-01-26T14:16:04.013171,221,6.08,24.8,149,1244,187
2026-01-26T14:16:06.708108,222,5.75,23.5,149,1244,187
2026-01-26T14:16:09.026072,223,5.06,20.7,149,1244,187
2026-01-26T14:16:11.695723,224,4.72,19.3,149,1244,187
2026-01-26T14:16:16.354758,225,4.02,16.4,149,1244,187
2026-01-26T14:16:18.754376,226,3.68,15.0,149,1244,187
2026-01-26T14:16:26.578795,227,5.07,20.7,149,1244,187
2026-01-26T14:16:29.729350,228,4.71,19.3,149,1244,187
2026-01-26T14:16:32.665690,229,4.41,18.0,149,1244,187
2026-01-26T14:16:34.897696,230,4.07,16.6,149,1244,187
2026-01-26T14:16:37.129905,231,3.73,15.2,149,1244,187
2026-01-26T14:16:39.407806,232,3.95,16.2,149,1244,187
2026-01-26T14:16:45.795319,233,4.11,16.8,149,1244,187
2026-01-26T14:16:46.799657,234,4.07,16.7,149,1244,187
2026-01-26T14:16:53.278722,235,4.16,17.0,149,1244,187
2026-01-26T14:16:54.367608,236,4.11,16.8,149,1244,187
2026-01-26T14:16:55.293157,237,4.07,16.6,149,1244,187
2026-01-26T14:17:01.793343,238,4.12,16.9,149,1244,187
2026-01-26T14:17:02.814470,239,4.08,16.7,149,1244,187
2026-01-26T14:17:09.295574,240,4.14,16.9,149,1244,187
2026-01-26T14:17:10.322280,241,4.09,16.7,149,1244,187
2026-01-26T14:17:12.453894,242,4.08,16.7,149,1244,187
2026-01-26T14:17:14.608543,243,4.08,16.7,149,1244,187
2026-01-26T14:17:16.717290,244,4.20,17.2,149,1244,187
2026-01-26T14:17:18.780210,245,4.10,16.8,149,1244,187
2026-01-26T14:17:20.885645,246,4.06,16.6,149,1244,187
2026-01-26T14:17:22.941972,247,4.20,17.2,149,1244,187
2026-01-26T14:17:25.045224,248,4.02,16.4,149,1244,187
2026-01-26T14:17:27.145707,249,4.01,16.4,149,1244,187
